Fan,Refrigerator,AirConditioner,Television,Monitor,MotorPump,Month,City,Company,MonthlyHours,TariffRate,ElectricityBill,physics_kwh,physics_bill,ratio,target_bill,ac_kwh,temperature,cooling_degree_days,season,month_sin,month_cos,ac_ratio,high_ac_usage,total_hours,avg_hours_per_device,log_tariff,ac_temp_interaction,temp_ac_interaction,usage_intensity
10,18.0,3.0,9.0,1.0,0,2,Noida,Sterlite Power Transmission Ltd,369,8.2,3025.8,264.9,2172.18,1.3,3025.8,135.0,20,0,0,0.8660254037844386,0.5000000000000001,0.5096262740656852,1,41.0,6.833333333333333,2.2192034840549946,0.0,0.0,18.92142857142857
9,23.0,2.0,5.0,1.0,0,8,Ratnagiri,Optibelt Power Transmission India Private Limited,341,7.4,2523.4,228.3,1689.42,1.3,2523.4,90.0,32,8,2,-0.8660254037844385,-0.5000000000000004,0.39421813403416556,0,40.0,6.666666666666667,2.128231705849268,720.0,720.0,19.025000000000002
23,23.0,3.0,8.0,1.0,0,6,Nagpur,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),445,8.9,3960.5,311.7,2774.13,1.3,3960.5,135.0,38,14,2,1.2246467991473532e-16,-1.0,0.4331087584215592,1,58.0,9.666666666666666,2.2925347571405443,1890.0,1890.0,11.544444444444444
8,17.0,2.0,5.0,1.0,0,12,Chennai,JSW Energy Ltd.,218,8.8,1918.4,199.2,1752.96,1.0943775100401607,1918.4,90.0,20,0,0,-2.4492935982947064e-16,1.0,0.45180722891566266,1,33.0,5.5,2.2823823856765264,0.0,0.0,18.10909090909091
5,22.0,2.0,4.0,1.0,0,11,Hyderabad,L&T Transmission & Distribution,253,8.4,2125.2000000000003,212.4,1784.16,1.1911487758945387,2125.2000000000003,90.0,28,4,3,-0.5000000000000004,0.8660254037844384,0.423728813559322,1,34.0,5.666666666666667,2.2407096892759584,360.0,360.0,26.55
7,17.0,3.0,6.0,1.0,0,6,Dahej,Jaiprakash Power,254,7.6,1930.4,245.1,1862.7599999999998,1.0363117095063241,1930.4,135.0,38,14,2,1.2246467991473532e-16,-1.0,0.5507955936352509,1,34.0,5.666666666666667,2.151762203259462,1890.0,1890.0,22.28181818181818
8,18.0,3.0,8.0,1.0,0,9,Dahej,NHPC,331,7.6,2515.6,257.7,1958.5199999999998,1.2844392704695384,2515.6,135.0,32,8,2,-1.0,-1.8369701987210297e-16,0.5238649592549476,1,38.0,6.333333333333333,2.151762203259462,1080.0,1080.0,21.474999999999998
17,22.0,3.0,4.0,1.0,0,7,Pune,Optibelt Power Transmission India Private Limited,372,9.1,3385.2,282.6,2571.6600000000003,1.3,3385.2,135.0,32,8,2,-0.4999999999999997,-0.8660254037844388,0.4777070063694267,1,47.0,7.833333333333333,2.312535423847214,1080.0,1080.0,13.457142857142859
5,19.0,2.0,4.0,1.0,0,7,Dahej,Adani Power Ltd.,236,7.6,1793.6,198.9,1511.6399999999999,1.1865258924082454,1793.6,90.0,32,8,2,-0.4999999999999997,-0.8660254037844388,0.45248868778280543,1,31.0,5.166666666666667,2.151762203259462,720.0,720.0,24.8625
16,22.0,2.0,8.0,1.0,0,8,Shimla,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,361,7.7,2779.7000000000003,247.5,1905.75,1.3,2779.7000000000003,90.0,32,8,2,-0.8660254037844385,-0.5000000000000004,0.36363636363636365,0,49.0,8.166666666666666,2.163323025660538,720.0,720.0,13.026315789473685
9,21.0,3.0,5.0,1.0,0,4,Mumbai,Neueon Towers / Sujana Towers Ltd.,384,9.2,3532.8,264.3,2431.56,1.3,3532.8,135.0,30,6,1,0.8660254037844387,-0.4999999999999998,0.510783200908059,1,39.0,6.5,2.322387720290225,810.0,810.0,20.33076923076923
12,22.0,3.0,12.0,1.0,0,7,Nagpur,Unitech Power Transmission Ltd.,432,8.9,3844.8,296.1,2635.2900000000004,1.3,3844.8,135.0,32,8,2,-0.4999999999999997,-0.8660254037844388,0.4559270516717325,1,50.0,8.333333333333334,2.2925347571405443,1080.0,1080.0,18.50625
7,18.0,2.0,21.0,1.0,0,11,Nagpur,Adani Power Ltd.,350,8.9,3115.0,249.6,2221.44,1.3,3115.0,90.0,28,4,3,-0.5000000000000004,0.8660254037844384,0.3605769230769231,0,49.0,8.166666666666666,2.2925347571405443,360.0,360.0,24.96
9,18.0,3.0,13.0,1.0,0,3,Nagpur,Sunil Hitech Eng,341,8.9,3034.9,274.8,2445.7200000000003,1.2409024745269286,3034.9,135.0,30,6,1,1.0,6.123233995736766e-17,0.4912663755458515,1,44.0,7.333333333333333,2.2925347571405443,810.0,810.0,21.138461538461538
5,20.0,3.0,7.0,1.0,0,3,Nagpur,Ringfeder Power Transmission India Pvt. Ltd.,294,8.9,2616.6,257.4,2290.8599999999997,1.1421911421911424,2616.6,135.0,30,6,1,1.0,6.123233995736766e-17,0.5244755244755245,1,36.0,6.0,2.2925347571405443,810.0,810.0,28.599999999999998
18,22.0,3.0,12.0,1.0,0,2,New Delhi,Jaiprakash Power,431,8.5,3663.5,308.7,2623.95,1.3,3663.5,135.0,20,0,0,0.8660254037844386,0.5000000000000001,0.43731778425655976,1,56.0,9.333333333333334,2.2512917986064953,0.0,0.0,14.031818181818181
8,19.0,3.0,19.0,1.0,0,1,Gurgaon,Jaiprakash Power,431,8.3,3577.3,295.2,2450.1600000000003,1.3,3577.3,135.0,20,0,0,0.49999999999999994,0.8660254037844387,0.4573170731707317,1,50.0,8.333333333333334,2.2300144001592104,0.0,0.0,24.599999999999998
6,23.0,2.0,18.0,1.0,0,2,New Delhi,Ringfeder Power Transmission India Pvt. Ltd.,365,8.5,3102.5,261.0,2218.5,1.3,3102.5,90.0,20,0,0,0.8660254037844386,0.5000000000000001,0.3448275862068966,0,50.0,8.333333333333334,2.2512917986064953,0.0,0.0,29.0
16,23.0,2.0,7.0,1.0,0,3,New Delhi,Guj Ind Power,373,8.5,3170.5,249.0,2116.5,1.3,3170.5,90.0,30,6,1,1.0,6.123233995736766e-17,0.3614457831325301,0,49.0,8.166666666666666,2.2512917986064953,540.0,540.0,13.105263157894736
7,17.0,3.0,4.0,1.0,0,1,Chennai,NLC India,341,8.8,3000.8,239.1,2104.08,1.3,3000.8,135.0,20,0,0,0.49999999999999994,0.8660254037844387,0.5646173149309912,1,32.0,5.333333333333333,2.2823823856765264,0.0,0.0,21.736363636363635
10,22.0,3.0,8.0,1.0,0,4,Chennai,JSW Energy Ltd.,352,8.8,3097.6000000000004,279.9,2463.12,1.2575919971418366,3097.6000000000004,135.0,30,6,1,0.8660254037844387,-0.4999999999999998,0.482315112540193,1,44.0,7.333333333333333,2.2823823856765264,810.0,810.0,19.99285714285714
8,21.0,3.0,11.0,1.0,0,4,Navi Mumbai,Unitech Power Transmission Ltd.,391,9.3,3636.3,280.2,2605.86,1.3,3636.3,135.0,30,6,1,0.8660254037844387,-0.4999999999999998,0.48179871520342615,1,44.0,7.333333333333333,2.33214389523559,810.0,810.0,23.349999999999998
5,18.0,3.0,3.0,1.0,0,4,Shimla,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,309,7.7,2379.3,236.4,1820.28,1.3,2379.3,135.0,30,6,1,0.8660254037844387,-0.4999999999999998,0.5710659898477157,1,30.0,5.0,2.163323025660538,810.0,810.0,26.266666666666666
8,17.0,3.0,9.0,1.0,0,5,Vadodara,Indowind Energy,350,7.8,2730.0,256.2,1998.36,1.3,2730.0,135.0,38,14,1,0.49999999999999994,-0.8660254037844387,0.5269320843091335,1,38.0,6.333333333333333,2.174751721484161,1890.0,1890.0,21.349999999999998
9,20.0,2.0,9.0,1.0,0,4,Chennai,Reliance Power,281,8.8,2472.8,226.8,1995.8400000000004,1.2389770723104054,2472.8,90.0,30,6,1,0.8660254037844387,-0.4999999999999998,0.3968253968253968,0,41.0,6.833333333333333,2.2823823856765264,540.0,540.0,18.900000000000002
7,22.0,3.0,7.0,1.0,0,11,Shimla,Sunil Hitech Eng,313,7.7,2410.1,270.6,2083.6200000000003,1.1566888396156687,2410.1,135.0,28,4,3,-0.5000000000000004,0.8660254037844384,0.4988913525498891,1,40.0,6.666666666666667,2.163323025660538,540.0,540.0,24.6
19,22.0,3.0,7.0,1.0,0,3,Shimla,NTPC Pvt. Ltd.,426,7.7,3280.2000000000003,295.8,2277.6600000000003,1.3,3280.2000000000003,135.0,30,6,1,1.0,6.123233995736766e-17,0.4563894523326572,1,52.0,8.666666666666666,2.163323025660538,810.0,810.0,12.860869565217392
19,22.0,3.0,8.0,1.0,0,6,Pune,Indowind Energy,428,9.1,3894.8,298.8,2719.08,1.3,3894.8,135.0,38,14,2,1.2246467991473532e-16,-1.0,0.4518072289156626,1,53.0,8.833333333333334,2.312535423847214,1890.0,1890.0,12.991304347826087
8,18.0,3.0,14.0,1.0,0,11,Navi Mumbai,Reliance Power,400,9.3,3720.000000000001,275.7,2564.01,1.3,3720.000000000001,135.0,28,4,3,-0.5000000000000004,0.8660254037844384,0.4896626768226333,1,44.0,7.333333333333333,2.33214389523559,540.0,540.0,22.974999999999998
9,18.0,3.0,3.0,7.0,0,7,Mumbai,GE T&D India Limited,353,9.2,3247.6,250.2,2301.8399999999997,1.3,3247.6,135.0,32,8,2,-0.4999999999999997,-0.8660254037844388,0.539568345323741,1,40.0,6.666666666666667,2.322387720290225,1080.0,1080.0,19.246153846153845
10,17.0,2.0,4.0,1.0,0,8,Pune,SJVN Ltd.,225,9.1,2047.5,200.4,1823.6399999999999,1.122754491017964,2047.5,90.0,32,8,2,-0.8660254037844385,-0.5000000000000004,0.4491017964071856,1,34.0,5.666666666666667,2.312535423847214,720.0,720.0,15.415384615384616
21,23.0,3.0,4.0,1.0,0,8,Shimla,Indowind Energy,436,7.7,3357.2000000000003,295.5,2275.35,1.3,3357.2000000000003,135.0,32,8,2,-0.8660254037844385,-0.5000000000000004,0.45685279187817257,1,52.0,8.666666666666666,2.163323025660538,1080.0,1080.0,11.82
15,22.0,3.0,8.0,1.0,0,9,Hyderabad,Optibelt Power Transmission India Private Limited,427,8.4,3586.8,290.4,2439.36,1.3,3586.8,135.0,32,8,2,-1.0,-1.8369701987210297e-16,0.4648760330578513,1,49.0,8.166666666666666,2.2407096892759584,1080.0,1080.0,15.284210526315789
5,17.0,3.0,22.0,1.0,0,9,New Delhi,CESC,364,8.5,3094.0,288.9,2455.6499999999996,1.2599515403253723,3094.0,135.0,32,8,2,-1.0,-1.8369701987210297e-16,0.4672897196261683,1,48.0,8.0,2.2512917986064953,1080.0,1080.0,32.099999999999994
22,22.0,3.0,3.0,1.0,0,3,Nagpur,KEC International,392,8.9,3488.8,290.1,2581.8900000000003,1.3,3488.8,135.0,30,6,1,1.0,6.123233995736766e-17,0.46535677352637017,1,51.0,8.5,2.2925347571405443,810.0,810.0,11.157692307692308
16,22.0,2.0,3.0,1.0,0,10,Navi Mumbai,Neueon Towers / Sujana Towers Ltd.,337,9.3,3134.1000000000004,232.5,2162.25,1.3,3134.1000000000004,90.0,28,4,3,-0.8660254037844386,0.5000000000000001,0.3870967741935484,0,44.0,7.333333333333333,2.33214389523559,360.0,360.0,12.236842105263158
5,22.0,3.0,13.0,1.0,0,12,Ahmedabad,Indowind Energy,409,7.9,3231.1000000000004,284.4,2246.7599999999998,1.3,3231.1000000000004,135.0,20,0,0,-2.4492935982947064e-16,1.0,0.4746835443037975,1,44.0,7.333333333333333,2.186051276738094,0.0,0.0,31.599999999999998
5,18.0,0.0,11.0,1.0,0,11,Chennai,NTPC Pvt. Ltd.,187,8.8,1645.6,125.4,1103.5200000000002,1.3,1645.6,0.0,28,4,3,-0.5000000000000004,0.8660254037844384,0.0,0,35.0,5.833333333333333,2.2823823856765264,0.0,0.0,20.900000000000002
12,23.0,3.0,9.0,1.0,0,9,Kolkata,KEC International,389,8.7,3384.3,291.6,2536.92,1.3,3384.3,135.0,32,8,2,-1.0,-1.8369701987210297e-16,0.4629629629629629,1,48.0,8.0,2.272125885509337,1080.0,1080.0,18.225
12,22.0,3.0,5.0,1.0,0,6,Gurgaon,Ringfeder Power Transmission India Pvt. Ltd.,370,8.3,3071.0000000000005,275.1,2283.3300000000004,1.3,3071.0000000000005,135.0,38,14,2,1.2246467991473532e-16,-1.0,0.4907306434023991,1,43.0,7.166666666666667,2.2300144001592104,1890.0,1890.0,17.19375
10,20.0,2.0,10.0,1.0,0,2,Vadodara,NHPC,278,7.8,2168.4,231.9,1808.82,1.1987925830099182,2168.4,90.0,20,0,0,0.8660254037844386,0.5000000000000001,0.38809831824062097,0,43.0,7.166666666666667,2.174751721484161,0.0,0.0,17.838461538461537
10,18.0,3.0,6.0,1.0,0,5,Pune,JSW Energy Ltd.,358,9.1,3257.8,255.9,2328.69,1.3,3257.8,135.0,38,14,1,0.49999999999999994,-0.8660254037844387,0.5275498241500586,1,38.0,6.333333333333333,2.312535423847214,1890.0,1890.0,18.27857142857143
8,18.0,3.0,10.0,1.0,0,11,New Delhi,GE T&D India Limited,296,8.5,2516.0,263.7,2241.45,1.1224876753886994,2516.0,135.0,28,4,3,-0.5000000000000004,0.8660254037844384,0.5119453924914676,1,40.0,6.666666666666667,2.2512917986064953,540.0,540.0,21.974999999999998
8,20.0,2.0,7.0,1.0,0,2,Vadodara,Kalpataru Power,280,7.8,2184.0,218.7,1705.86,1.2802926383173296,2184.0,90.0,20,0,0,0.8660254037844386,0.5000000000000001,0.411522633744856,1,38.0,6.333333333333333,2.174751721484161,0.0,0.0,19.88181818181818
5,18.0,2.0,22.0,1.0,0,1,Noida,Tata Power Company Ltd.,363,8.2,2976.6,248.4,2036.8799999999999,1.3,2976.6,90.0,20,0,0,0.49999999999999994,0.8660254037844387,0.36231884057971014,0,48.0,8.0,2.2192034840549946,0.0,0.0,31.05
6,21.0,2.0,7.0,1.0,0,12,Chennai,Ringfeder Power Transmission India Pvt. Ltd.,281,8.8,2472.8,219.0,1927.2,1.2831050228310503,2472.8,90.0,20,0,0,-2.4492935982947064e-16,1.0,0.410958904109589,1,37.0,6.166666666666667,2.2823823856765264,0.0,0.0,24.333333333333332
6,20.0,1.0,8.0,1.0,0,7,Faridabad,Ringfeder Power Transmission India Pvt. Ltd.,255,8.1,2065.5,172.5,1397.25,1.3,2065.5,45.0,32,8,2,-0.4999999999999997,-0.8660254037844388,0.2608695652173913,0,36.0,6.0,2.2082744135228043,360.0,360.0,21.5625
10,20.0,3.0,22.0,1.0,0,9,Gurgaon,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),449,8.3,3726.7,312.9,2597.07,1.3,3726.7,135.0,32,8,2,-1.0,-1.8369701987210297e-16,0.4314477468839885,1,56.0,9.333333333333334,2.2300144001592104,1080.0,1080.0,22.349999999999998
11,22.0,2.0,4.0,1.0,0,11,New Delhi,GE T&D India Limited,296,8.5,2516.0,225.0,1912.5,1.3,2516.0,90.0,28,4,3,-0.5000000000000004,0.8660254037844384,0.4,0,40.0,6.666666666666667,2.2512917986064953,360.0,360.0,16.071428571428573
17,22.0,2.0,8.0,1.0,0,2,Vadodara,L&T Transmission & Distribution,362,7.8,2823.6,249.6,1946.8799999999999,1.3,2823.6,90.0,20,0,0,0.8660254037844386,0.5000000000000001,0.3605769230769231,0,50.0,8.333333333333334,2.174751721484161,0.0,0.0,12.48
5,18.0,3.0,14.0,1.0,0,5,Hyderabad,JSW Energy Ltd.,383,8.4,3217.2000000000003,269.4,2262.96,1.3,3217.2000000000003,135.0,38,14,1,0.49999999999999994,-0.8660254037844387,0.5011135857461025,1,41.0,6.833333333333333,2.2407096892759584,1890.0,1890.0,29.93333333333333
8,17.0,3.0,6.0,1.0,0,7,Shimla,Jaiprakash Power,268,7.7,2063.6,247.2,1903.44,1.0841423948220064,2063.6,135.0,32,8,2,-0.4999999999999997,-0.8660254037844388,0.5461165048543689,1,35.0,5.833333333333333,2.163323025660538,1080.0,1080.0,20.599999999999998
11,22.0,3.0,18.0,1.0,0,11,Mumbai,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),443,9.2,4075.6,312.0,2870.3999999999996,1.3,4075.6,135.0,28,4,3,-0.5000000000000004,0.8660254037844384,0.4326923076923077,1,55.0,9.166666666666666,2.322387720290225,540.0,540.0,20.8
20,22.0,2.0,4.0,1.0,0,6,Ahmedabad,Neueon Towers / Sujana Towers Ltd.,361,7.9,2851.9,243.9,1926.8100000000002,1.3,2851.9,90.0,38,14,2,1.2246467991473532e-16,-1.0,0.36900369003690037,0,49.0,8.166666666666666,2.186051276738094,1260.0,1260.0,10.604347826086956
5,17.0,1.0,4.0,7.0,0,6,Nagpur,GE T&D India Limited,211,8.9,1877.9,150.3,1337.67,1.3,1877.9,45.0,38,14,2,1.2246467991473532e-16,-1.0,0.2994011976047904,0,34.0,5.666666666666667,2.2925347571405443,630.0,630.0,21.47142857142857
14,22.0,2.0,6.0,1.0,0,11,Pune,Optibelt Power Transmission India Private Limited,320,9.1,2912.0,237.3,2159.43,1.3,2912.0,90.0,28,4,3,-0.5000000000000004,0.8660254037844384,0.37926675094816686,0,45.0,7.5,2.312535423847214,360.0,360.0,13.958823529411765
10,21.0,3.0,3.0,1.0,0,11,Ratnagiri,Neueon Towers / Sujana Towers Ltd.,288,7.4,2131.2000000000003,260.4,1926.96,1.1059907834101383,2131.2000000000003,135.0,28,4,3,-0.5000000000000004,0.8660254037844384,0.5184331797235023,1,38.0,6.333333333333333,2.128231705849268,540.0,540.0,18.599999999999998
9,23.0,3.0,5.0,1.0,0,6,Navi Mumbai,GE T&D India Limited,386,9.3,3589.8,273.3,2541.6900000000005,1.3,3589.8,135.0,38,14,2,1.2246467991473532e-16,-1.0,0.49396267837541163,1,41.0,6.833333333333333,2.33214389523559,1890.0,1890.0,21.023076923076925
23,22.0,3.0,4.0,1.0,0,1,Ratnagiri,Orient Green,410,7.4,3034.0,295.2,2184.48,1.3,3034.0,135.0,20,0,0,0.49999999999999994,0.8660254037844387,0.4573170731707317,1,53.0,8.833333333333334,2.128231705849268,0.0,0.0,10.933333333333334
21,23.0,3.0,12.0,1.0,0,2,Hyderabad,Ringfeder Power Transmission India Pvt. Ltd.,478,8.4,4015.2,319.5,2683.8,1.3,4015.2,135.0,20,0,0,0.8660254037844386,0.5000000000000001,0.4225352112676056,1,60.0,10.0,2.2407096892759584,0.0,0.0,12.78
5,20.0,1.0,3.0,7.0,0,4,Ratnagiri,JSW Energy Ltd.,239,7.4,1768.6,160.8,1189.92,1.3,1768.6,45.0,30,6,1,0.8660254037844387,-0.4999999999999998,0.2798507462686567,0,36.0,6.0,2.128231705849268,270.0,270.0,22.97142857142857
8,17.0,3.0,21.0,1.0,0,1,New Delhi,Adani Power Ltd.,386,8.5,3281.0,292.2,2483.7,1.3,3281.0,135.0,20,0,0,0.49999999999999994,0.8660254037844387,0.4620123203285421,1,50.0,8.333333333333334,2.2512917986064953,0.0,0.0,24.349999999999998
5,22.0,3.0,20.0,1.0,0,4,Hyderabad,NHPC,438,8.4,3679.2,305.4,2565.36,1.3,3679.2,135.0,30,6,1,0.8660254037844387,-0.4999999999999998,0.4420432220039293,1,51.0,8.5,2.2407096892759584,810.0,810.0,33.93333333333333
5,18.0,3.0,13.0,1.0,0,10,Dahej,CESC,391,7.6,2971.6,266.4,2024.6399999999996,1.3,2971.6,135.0,28,4,3,-0.8660254037844386,0.5000000000000001,0.5067567567567568,1,40.0,6.666666666666667,2.151762203259462,540.0,540.0,29.599999999999998
18,23.0,3.0,4.0,1.0,0,9,Pune,L&T Transmission & Distribution,413,9.1,3758.3,289.2,2631.72,1.3,3758.3,135.0,32,8,2,-1.0,-1.8369701987210297e-16,0.46680497925311204,1,49.0,8.166666666666666,2.312535423847214,1080.0,1080.0,13.145454545454545
22,23.0,3.0,8.0,1.0,0,6,Vadodara,Jyoti Structure,433,7.8,3377.4,309.6,2414.88,1.3,3377.4,135.0,38,14,2,1.2246467991473532e-16,-1.0,0.4360465116279069,1,57.0,9.5,2.174751721484161,1890.0,1890.0,11.907692307692308
23,22.0,3.0,6.0,1.0,0,2,Pune,Power Grid Corp,431,9.1,3922.1,301.2,2740.9199999999996,1.3,3922.1,135.0,20,0,0,0.8660254037844386,0.5000000000000001,0.448207171314741,1,55.0,9.166666666666666,2.312535423847214,0.0,0.0,11.155555555555555
19,22.0,3.0,8.0,1.0,0,4,Dahej,GE T&D India Limited,409,7.6,3108.4,298.8,2270.88,1.3,3108.4,135.0,30,6,1,0.8660254037844387,-0.4999999999999998,0.4518072289156626,1,53.0,8.833333333333334,2.151762203259462,810.0,810.0,12.991304347826087
9,22.0,3.0,5.0,1.0,0,1,Faridabad,NTPC Pvt. Ltd.,401,8.1,3248.1,268.8,2177.28,1.3,3248.1,135.0,20,0,0,0.49999999999999994,0.8660254037844387,0.5022321428571428,1,40.0,6.666666666666667,2.2082744135228043,0.0,0.0,20.676923076923078
6,23.0,2.0,3.0,1.0,0,7,Gurgaon,Orient Green,316,8.3,2622.8,216.0,1792.8000000000002,1.3,2622.8,90.0,32,8,2,-0.4999999999999997,-0.8660254037844388,0.4166666666666667,1,35.0,5.833333333333333,2.2300144001592104,720.0,720.0,24.0
9,21.0,3.0,13.0,1.0,0,12,Dahej,Optibelt Power Transmission India Private Limited,383,7.6,2910.8,288.3,2191.08,1.3,2910.8,135.0,20,0,0,-2.4492935982947064e-16,1.0,0.46826222684703434,1,47.0,7.833333333333333,2.151762203259462,0.0,0.0,22.176923076923078
12,23.0,3.0,9.0,1.0,0,12,Chennai,Jyoti Structure,404,8.8,3555.2000000000003,291.6,2566.0800000000004,1.3,3555.2000000000003,135.0,20,0,0,-2.4492935982947064e-16,1.0,0.4629629629629629,1,48.0,8.0,2.2823823856765264,0.0,0.0,18.225
11,22.0,3.0,4.0,1.0,0,6,Pune,Kalpataru Power,340,9.1,3094.0,270.0,2457.0,1.2592592592592593,3094.0,135.0,38,14,2,1.2246467991473532e-16,-1.0,0.5,1,41.0,6.833333333333333,2.312535423847214,1890.0,1890.0,18.0
7,19.0,3.0,18.0,1.0,0,5,Faridabad,Ringfeder Power Transmission India Pvt. Ltd.,407,8.1,3296.7,290.1,2349.81,1.3,3296.7,135.0,38,14,1,0.49999999999999994,-0.8660254037844387,0.46535677352637017,1,48.0,8.0,2.2082744135228043,1890.0,1890.0,26.372727272727275
11,22.0,2.0,9.0,1.0,0,2,Noida,Reliance Energy,356,8.2,2919.2,240.0,1967.9999999999998,1.3,2919.2,90.0,20,0,0,0.8660254037844386,0.5000000000000001,0.375,0,45.0,7.5,2.2192034840549946,0.0,0.0,17.142857142857142
10,19.0,3.0,9.0,1.0,0,7,Faridabad,Neueon Towers / Sujana Towers Ltd.,381,8.1,3086.1,269.4,2182.14,1.3,3086.1,135.0,32,8,2,-0.4999999999999997,-0.8660254037844388,0.5011135857461025,1,42.0,7.0,2.2082744135228043,1080.0,1080.0,19.24285714285714
16,23.0,2.0,3.0,1.0,0,11,Mumbai,Unitech Power Transmission Ltd.,314,9.2,2888.8,237.0,2180.3999999999996,1.3,2888.8,90.0,28,4,3,-0.5000000000000004,0.8660254037844384,0.379746835443038,0,45.0,7.5,2.322387720290225,360.0,360.0,12.473684210526315
11,23.0,3.0,16.0,1.0,0,2,Navi Mumbai,Indowind Energy,391,9.3,3636.3,310.5,2887.65,1.2592592592592593,3636.3,135.0,20,0,0,0.8660254037844386,0.5000000000000001,0.43478260869565216,1,54.0,9.0,2.33214389523559,0.0,0.0,20.7
